RUN	simulations.ET_Simulation	et-simulation	1664968448438	 	3.3.1
USER	ETCreateClaim	1	START	1664968449559	1664968449559
REQUEST	1	ET_010_Home	ET_010_005_Home	1664968449583	1664968449989	OK	 
GROUP	1	ET_010_Home	1664968449574	1664968451224	1529	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1664968454806	1664968454958	OK	 
GROUP	1	ET_020_Start	1664968454792	1664968455138	288	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1664968457885	1664968458041	OK	 
GROUP	1	ET_030_Before_You_Continue	1664968457879	1664968458408	311	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1664968461874	1664968462026	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1664968462044	1664968462159	OK	 
GROUP	1	ET_040_Work_Postcode	1664968461838	1664968462776	842	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1664968466497	1664968466646	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1664968466648	1664968466833	OK	 
GROUP	1	ET_050_Claim_Yourself	1664968466489	1664968466999	463	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1664968470470	1664968470575	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1664968470581	1664968470712	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1664968470457	1664968470873	375	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1664968473737	1664968473843	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1664968473852	1664968474016	OK	 
GROUP	1	ET_070_ACAS_Certificate	1664968473732	1664968474177	410	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1664968476774	1664968476910	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 1	1664968476922	1664968477029	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 2	1664968477041	1664968477161	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 3	1664968477167	1664968477467	OK	 
GROUP	1	ET_080_Representative	1664968476761	1664968478161	1264	OK
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In	1664968481659	1664968482117	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 1	1664968482125	1664968490701	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 2	1664968490709	1664968490878	OK	 
GROUP	1	ET_090_Log_In	1664968481640	1664968491032	9337	OK
REQUEST	1	ET_100_One_Go	ET_100_005_One_Go	1664968493126	1664968493259	OK	 
GROUP	1	ET_100_One_Go	1664968493118	1664968493425	289	OK
REQUEST	1	ET_110_Personal_Details	ET_110_005_Personal_Details	1664968495643	1664968495771	OK	 
GROUP	1	ET_110_Personal_Details	1664968495639	1664968495939	289	OK
REQUEST	1	ET_120_DoB	ET_120_005_DoB	1664968498514	1664968498620	OK	 
REQUEST	1	ET_120_DoB	ET_120_005_DoB Redirect 1	1664968498629	1664968498733	OK	 
GROUP	1	ET_120_DoB	1664968498508	1664968498894	355	OK
REQUEST	1	ET_130_Sex	ET_130_005_Sex	1664968501397	1664968501532	OK	 
REQUEST	1	ET_130_Sex	ET_130_005_Sex Redirect 1	1664968501537	1664968501705	OK	 
GROUP	1	ET_130_Sex	1664968501390	1664968501891	457	OK
REQUEST	1	ET_140_Your_Address_LookUp	XUI_Common_000_PostcodeLookup	1664968505206	1664968505853	OK	 
GROUP	1	ET_140_Your_Address_LookUp	1664968505198	1664968505865	647	OK
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select	1664968508122	1664968508225	OK	 
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select Redirect 1	1664968508229	1664968508327	OK	 
GROUP	1	ET_145_Your_Address_Select	1664968508118	1664968508695	547	OK
