RUN	simulations.ET_Simulation	et-simulation	1665649656118	 	3.3.1
USER	ETCreateClaim	1	START	1665649656933	1665649656933
REQUEST	1	ET_010_Home	ET_010_005_Home	1665649656973	1665649657223	OK	 
GROUP	1	ET_010_Home	1665649656950	1665649657924	849	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1665649664423	1665649664521	OK	 
GROUP	1	ET_020_Start	1665649664414	1665649664644	187	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1665649671076	1665649671146	OK	 
GROUP	1	ET_030_Before_You_Continue	1665649671071	1665649671283	146	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1665649675777	1665649675831	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1665649675838	1665649675912	OK	 
GROUP	1	ET_040_Work_Postcode	1665649675761	1665649676140	339	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1665649681225	1665649681280	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1665649681282	1665649681378	OK	 
GROUP	1	ET_050_Claim_Yourself	1665649681222	1665649681634	381	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1665649686491	1665649686548	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1665649686551	1665649686621	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1665649686481	1665649686721	213	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1665649691051	1665649691094	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1665649691100	1665649691192	OK	 
GROUP	1	ET_070_ACAS_Certificate	1665649691043	1665649691383	316	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1665649696385	1665649696461	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 1	1665649696477	1665649696561	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 2	1665649696569	1665649696611	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 3	1665649696614	1665649696755	OK	 
GROUP	1	ET_080_Representative	1665649696373	1665649697042	544	OK
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In	1665649703536	1665649704008	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 1	1665649704016	1665649708094	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 2	1665649708101	1665649708188	OK	 
GROUP	1	ET_090_Log_In	1665649703521	1665649708434	4857	OK
REQUEST	1	ET_100_One_Go	ET_100_005_One_Go	1665649714496	1665649714559	OK	 
GROUP	1	ET_100_One_Go	1665649714490	1665649714640	140	OK
REQUEST	1	ET_110_Personal_Details	ET_110_005_Personal_Details	1665649718715	1665649718768	OK	 
GROUP	1	ET_110_Personal_Details	1665649718712	1665649718879	143	OK
REQUEST	1	ET_120_DoB	ET_120_005_DoB	1665649724509	1665649724560	OK	 
REQUEST	1	ET_120_DoB	ET_120_005_DoB Redirect 1	1665649724565	1665649724646	OK	 
GROUP	1	ET_120_DoB	1665649724500	1665649724756	221	OK
REQUEST	1	ET_130_Sex	ET_130_005_Sex	1665649731181	1665649731275	OK	 
REQUEST	1	ET_130_Sex	ET_130_005_Sex Redirect 1	1665649731281	1665649731415	OK	 
GROUP	1	ET_130_Sex	1665649731175	1665649731525	316	OK
REQUEST	1	ET_140_Your_Address_LookUp	XUI_Common_000_PostcodeLookup	1665649735954	1665649736495	OK	 
GROUP	1	ET_140_Your_Address_LookUp	1665649735951	1665649736505	541	OK
USER	ETCreateClaim	2	START	1665649740950	1665649740950
REQUEST	2	ET_010_Home	ET_010_005_Home	1665649740976	1665649741140	OK	 
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select	1665649741994	1665649742031	OK	 
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select Redirect 1	1665649742043	1665649742111	OK	 
GROUP	1	ET_145_Your_Address_Select	1665649741991	1665649742198	187	OK
GROUP	2	ET_010_Home	1665649740974	1665649742754	1770	OK
REQUEST	2	ET_020_Start	ET_020_005_Start	1665649746995	1665649747053	OK	 
GROUP	2	ET_020_Start	1665649746992	1665649747140	141	OK
REQUEST	1	ET_150_Telephone_Number	ET_150_005_Telephone_Number	1665649747405	1665649747455	OK	 
REQUEST	1	ET_150_Telephone_Number	ET_150_005_Telephone_Number Redirect 1	1665649747463	1665649747528	OK	 
GROUP	1	ET_150_Telephone_Number	1665649747402	1665649747694	246	OK
REQUEST	2	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1665649753062	1665649753107	OK	 
GROUP	2	ET_030_Before_You_Continue	1665649753051	1665649753213	117	OK
REQUEST	1	ET_160_Contact_Method	ET_160_005_Contact_Method	1665649753675	1665649753726	OK	 
REQUEST	1	ET_160_Contact_Method	ET_160_005_Contact_Method Redirect 1	1665649753737	1665649753809	OK	 
GROUP	1	ET_160_Contact_Method	1665649753661	1665649753899	205	OK
REQUEST	2	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1665649758985	1665649759040	OK	 
REQUEST	2	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1665649759043	1665649759099	OK	 
GROUP	2	ET_040_Work_Postcode	1665649758980	1665649759378	380	OK
REQUEST	1	ET_170_Hearing_Participation	ET_170_005_Hearing_Participation	1665649760299	1665649760350	OK	 
REQUEST	1	ET_170_Hearing_Participation	ET_170_005_Hearing_Participation Redirect 1	1665649760354	1665649760431	OK	 
GROUP	1	ET_170_Hearing_Participation	1665649760280	1665649760546	221	OK
REQUEST	2	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1665649764268	1665649764323	OK	 
REQUEST	2	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1665649764326	1665649764399	OK	 
GROUP	2	ET_050_Claim_Yourself	1665649764261	1665649764508	214	OK
REQUEST	1	ET_180_Need_Support	ET_180_005_Need_Support	1665649765696	1665649765782	OK	 
REQUEST	1	ET_180_Need_Support	ET_180_005_Need_Support Redirect 1	1665649765790	1665649765893	OK	 
GROUP	1	ET_180_Need_Support	1665649765691	1665649766025	295	OK
REQUEST	2	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1665649768801	1665649768858	OK	 
REQUEST	2	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1665649768871	1665649768930	OK	 
GROUP	2	ET_060_Claim_Own_Or_Others	1665649768791	1665649769017	191	OK
REQUEST	1	ET_190_Contact_Completed	ET_190_005_Contact_Completed	1665649771425	1665649771472	OK	 
REQUEST	1	ET_190_Contact_Completed	ET_190_005_Contact_Completed Redirect 1	1665649771479	1665649771541	OK	 
GROUP	1	ET_190_Contact_Completed	1665649771421	1665649771642	190	OK
REQUEST	2	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1665649775150	1665649775189	OK	 
REQUEST	2	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1665649775193	1665649775282	OK	 
