RUN	simulations.ET_Simulation	et-simulation	1665650628490	 	3.3.1
USER	ETCreateClaim	1	START	1665650629291	1665650629291
REQUEST	1	ET_010_Home	ET_010_005_Home	1665650629328	1665650629708	OK	 
GROUP	1	ET_010_Home	1665650629302	1665650641580	12115	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1665650647650	1665650649164	OK	 
GROUP	1	ET_020_Start	1665650647645	1665650649288	1592	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1665650653487	1665650653623	OK	 
GROUP	1	ET_030_Before_You_Continue	1665650653482	1665650653745	198	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1665650660591	1665650660658	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1665650660665	1665650660778	OK	 
GROUP	1	ET_040_Work_Postcode	1665650660573	1665650668711	8090	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1665650674257	1665650674335	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1665650674337	1665650674460	OK	 
GROUP	1	ET_050_Claim_Yourself	1665650674251	1665650674544	264	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1665650680733	1665650680887	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1665650680890	1665650681117	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1665650680723	1665650681238	489	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1665650686208	1665650686505	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1665650686506	1665650686900	OK	 
GROUP	1	ET_070_ACAS_Certificate	1665650686203	1665650687539	1314	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1665650693847	1665650693925	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 1	1665650693933	1665650694009	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 2	1665650694012	1665650694069	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 3	1665650694070	1665650695258	OK	 
GROUP	1	ET_080_Representative	1665650693842	1665650705167	11234	OK
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In	1665650710069	1665650710647	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 1	1665650710653	1665650714076	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 2	1665650714082	1665650714372	OK	 
GROUP	1	ET_090_Log_In	1665650710063	1665650714607	4517	OK
REQUEST	1	ET_100_One_Go	ET_100_005_One_Go	1665650721347	1665650721811	OK	 
GROUP	1	ET_100_One_Go	1665650721342	1665650722611	1254	OK
REQUEST	1	ET_110_Personal_Details	ET_110_005_Personal_Details	1665650729505	1665650730518	OK	 
GROUP	1	ET_110_Personal_Details	1665650729503	1665650731110	1594	OK
REQUEST	1	ET_120_DoB	ET_120_005_DoB	1665650737332	1665650745086	OK	 
REQUEST	1	ET_120_DoB	ET_120_005_DoB Redirect 1	1665650745090	1665650745255	OK	 
GROUP	1	ET_120_DoB	1665650737322	1665650745534	8184	OK
REQUEST	1	ET_130_Sex	ET_130_005_Sex	1665650750766	1665650750825	OK	 
REQUEST	1	ET_130_Sex	ET_130_005_Sex Redirect 1	1665650750829	1665650751149	OK	 
GROUP	1	ET_130_Sex	1665650750761	1665650751229	448	OK
REQUEST	1	ET_140_Your_Address_LookUp	XUI_Common_000_PostcodeLookup	1665650757056	1665650758085	OK	 
GROUP	1	ET_140_Your_Address_LookUp	1665650757053	1665650758092	1029	OK
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select	1665650764296	1665650764935	OK	 
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select Redirect 1	1665650764938	1665650765413	OK	 
GROUP	1	ET_145_Your_Address_Select	1665650764293	1665650765887	1570	OK
REQUEST	1	ET_150_Telephone_Number	ET_150_005_Telephone_Number	1665650771127	1665650771201	OK	 
REQUEST	1	ET_150_Telephone_Number	ET_150_005_Telephone_Number Redirect 1	1665650771206	1665650771489	OK	 
GROUP	1	ET_150_Telephone_Number	1665650771122	1665650771681	539	OK
REQUEST	1	ET_160_Contact_Method	ET_160_005_Contact_Method	1665650775880	1665650776082	OK	 
REQUEST	1	ET_160_Contact_Method	ET_160_005_Contact_Method Redirect 1	1665650776088	1665650776330	OK	 
GROUP	1	ET_160_Contact_Method	1665650775872	1665650776528	621	OK
REQUEST	1	ET_170_Hearing_Participation	ET_170_005_Hearing_Participation	1665650783399	1665650783460	OK	 
REQUEST	1	ET_170_Hearing_Participation	ET_170_005_Hearing_Participation Redirect 1	1665650783463	1665650783644	OK	 
GROUP	1	ET_170_Hearing_Participation	1665650783393	1665650783806	392	OK
REQUEST	1	ET_180_Need_Support	ET_180_005_Need_Support	1665650788463	1665650788512	OK	 
REQUEST	1	ET_180_Need_Support	ET_180_005_Need_Support Redirect 1	1665650788514	1665650788658	OK	 
GROUP	1	ET_180_Need_Support	1665650788454	1665650788787	315	OK
REQUEST	1	ET_190_Contact_Completed	ET_190_005_Contact_Completed	1665650793524	1665650793669	OK	 
REQUEST	1	ET_190_Contact_Completed	ET_190_005_Contact_Completed Redirect 1	1665650793672	1665650793828	OK	 
GROUP	1	ET_190_Contact_Completed	1665650793523	1665650793952	414	OK
REQUEST	1	ET_200_Employment_Status	ET_200_005_Employment_Status	1665650799377	1665650799896	OK	 
GROUP	1	ET_200_Employment_Status	1665650799375	1665650800116	710	OK
REQUEST	1	ET_210_Work_For_Org	ET_210_005_Work_For_Organisation	1665650806247	1665650806403	OK	 
REQUEST	1	ET_210_Work_For_Org	ET_210_005_Work_For_Organisation Redirect 1	1665650806406	1665650806679	OK	 
GROUP	1	ET_210_Work_For_Org	1665650806242	1665650806860	599	OK
REQUEST	1	ET_220_Still_Work_For_Org	ET_220_005_Still_Work_For_Org	1665650813556	1665650813632	OK	 
REQUEST	1	ET_220_Still_Work_For_Org	ET_220_005_Still_Work_For_Org Redirect 1	1665650813636	1665650813803	OK	 
GROUP	1	ET_220_Still_Work_For_Org	1665650813554	1665650813886	316	OK
REQUEST	1	ET_230_Employment_Details	ET_230_005_Employment_Details	1665650819536	1665650819776	OK	 
REQUEST	1	ET_230_Employment_Details	ET_230_005_Employment_Details Redirect 1	1665650819779	1665650823509	OK	 
GROUP	1	ET_230_Employment_Details	1665650819532	1665650823794	4241	OK
REQUEST	1	ET_240_Start_Date	ET_240_005_Start_Date	1665650829020	1665650829068	OK	 
REQUEST	1	ET_240_Start_Date	ET_240_005_Start_Date Redirect 1	1665650829072	1665650829170	OK	 
GROUP	1	ET_240_Start_Date	1665650829013	1665650829255	212	OK
REQUEST	1	ET_250_Notice_End	ET_250_005_Notice_End	1665650833554	1665650833600	OK	 
REQUEST	1	ET_250_Notice_End	ET_250_005_Notice_End Redirect 1	1665650833606	1665650833747	OK	 
GROUP	1	ET_250_Notice_End	1665650833553	1665650833842	271	OK
REQUEST	1	ET_260_Weeks_Or_Months	ET_260_005_Weeks_Or_Months	1665650838820	1665650838886	OK	 
REQUEST	1	ET_260_Weeks_Or_Months	ET_260_005_Weeks_Or_Months Redirect 1	1665650838890	1665650839113	OK	 
GROUP	1	ET_260_Weeks_Or_Months	1665650838812	1665650839363	527	OK
REQUEST	1	ET_270_Number_Of_Months	ET_270_005_Number_Of_Months	1665650844976	1665650845034	OK	 
REQUEST	1	ET_270_Number_Of_Months	ET_270_005_Number_Of_Months Redirect 1	1665650845037	1665650845310	OK	 
GROUP	1	ET_270_Number_Of_Months	1665650844971	1665650847961	2971	OK
REQUEST	1	ET_280_Weekly_Hours	ET_280_005_Weekly_Hours	1665650853856	1665650854783	OK	 
REQUEST	1	ET_280_Weekly_Hours	ET_280_005_Weekly_Hours Redirect 1	1665650854787	1665650856862	OK	 
