RUN	simulations.ET_Simulation	et-simulation	1665499930592	 	3.3.1
USER	ETCreateClaim	1	START	1665499931678	1665499931678
REQUEST	1	ET_010_Home	ET_010_005_Home	1665499931709	1665499932190	OK	 
GROUP	1	ET_010_Home	1665499931685	1665499933421	1601	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1665499939963	1665499940188	OK	 
GROUP	1	ET_020_Start	1665499939953	1665499940811	815	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1665499946696	1665499946849	OK	 
GROUP	1	ET_030_Before_You_Continue	1665499946692	1665499947325	581	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1665499951552	1665499951842	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1665499951850	1665499952012	OK	 
GROUP	1	ET_040_Work_Postcode	1665499951531	1665499952744	1165	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1665499957350	1665499957515	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1665499957518	1665499957664	OK	 
GROUP	1	ET_050_Claim_Yourself	1665499957343	1665499958080	700	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1665499963378	1665499963491	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1665499963498	1665499964532	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1665499963372	1665499964702	1297	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1665499970238	1665499970442	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1665499970447	1665499970596	OK	 
GROUP	1	ET_070_ACAS_Certificate	1665499970233	1665499971731	1476	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1665499976410	1665499976579	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 1	1665499976580	1665499976728	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 2	1665499976730	1665499976860	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 3	1665499976862	1665499976967	OK	 
GROUP	1	ET_080_Representative	1665499976392	1665499983290	6808	OK
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In	1665499988978	1665499991094	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 1	1665499991097	1665499994344	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 2	1665499994348	1665499994523	OK	 
GROUP	1	ET_090_Log_In	1665499988965	1665499994888	5895	OK
REQUEST	1	ET_100_One_Go	ET_100_005_One_Go	1665499999744	1665499999934	OK	 
GROUP	1	ET_100_One_Go	1665499999740	1665500000438	682	OK
REQUEST	1	ET_110_Personal_Details	ET_110_005_Personal_Details	1665500005406	1665500005588	OK	 
GROUP	1	ET_110_Personal_Details	1665500005401	1665500005839	421	OK
REQUEST	1	ET_120_DoB	ET_120_005_DoB	1665500010457	1665500010559	OK	 
REQUEST	1	ET_120_DoB	ET_120_005_DoB Redirect 1	1665500010562	1665500010696	OK	 
GROUP	1	ET_120_DoB	1665500010452	1665500010899	425	OK
REQUEST	1	ET_130_Sex	ET_130_005_Sex	1665500017593	1665500017699	OK	 
REQUEST	1	ET_130_Sex	ET_130_005_Sex Redirect 1	1665500017700	1665500017822	OK	 
GROUP	1	ET_130_Sex	1665500017591	1665500018964	1357	OK
REQUEST	1	ET_140_Your_Address_LookUp	XUI_Common_000_PostcodeLookup	1665500024787	1665500025487	OK	 
GROUP	1	ET_140_Your_Address_LookUp	1665500024782	1665500025490	700	OK
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select	1665500032186	1665500032315	OK	 
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select Redirect 1	1665500032318	1665500032452	OK	 
GROUP	1	ET_145_Your_Address_Select	1665500032182	1665500032619	417	OK
REQUEST	1	ET_150_Telephone_Number	ET_150_005_Telephone_Number	1665500036861	1665500036952	OK	 
REQUEST	1	ET_150_Telephone_Number	ET_150_005_Telephone_Number Redirect 1	1665500036960	1665500037403	OK	 
GROUP	1	ET_150_Telephone_Number	1665500036852	1665500037586	708	OK
REQUEST	1	ET_160_Contact_Method	ET_160_005_Contact_Method	1665500043530	1665500043643	OK	 
REQUEST	1	ET_160_Contact_Method	ET_160_005_Contact_Method Redirect 1	1665500043647	1665500043795	OK	 
GROUP	1	ET_160_Contact_Method	1665500043522	1665500043986	434	OK
REQUEST	1	ET_170_Hearing_Participation	ET_170_005_Hearing_Participation	1665500048291	1665500048392	OK	 
REQUEST	1	ET_170_Hearing_Participation	ET_170_005_Hearing_Participation Redirect 1	1665500048394	1665500048876	OK	 
GROUP	1	ET_170_Hearing_Participation	1665500048280	1665500049126	818	OK
REQUEST	1	ET_180_Need_Support	ET_180_005_Need_Support	1665500053176	1665500053290	OK	 
REQUEST	1	ET_180_Need_Support	ET_180_005_Need_Support Redirect 1	1665500053294	1665500053435	OK	 
GROUP	1	ET_180_Need_Support	1665500053170	1665500053932	736	OK
REQUEST	1	ET_190_Contact_Completed	ET_190_005_Contact_Completed	1665500060163	1665500060272	OK	 
REQUEST	1	ET_190_Contact_Completed	ET_190_005_Contact_Completed Redirect 1	1665500060275	1665500060450	OK	 
GROUP	1	ET_190_Contact_Completed	1665500060161	1665500060714	535	OK
REQUEST	1	ET_200_Employment_Status	ET_200_005_Employment_Status	1665500065446	1665500065606	OK	 
GROUP	1	ET_200_Employment_Status	1665500065443	1665500065816	338	OK
REQUEST	1	ET_210_Work_For_Org	ET_210_005_Work_For_Organisation	1665500072027	1665500072120	OK	 
REQUEST	1	ET_210_Work_For_Org	ET_210_005_Work_For_Organisation Redirect 1	1665500072124	1665500072275	OK	 
GROUP	1	ET_210_Work_For_Org	1665500072022	1665500072498	450	OK
REQUEST	1	ET_220_Still_Work_For_Org	ET_220_005_Still_Work_For_Org	1665500078223	1665500078395	OK	 
REQUEST	1	ET_220_Still_Work_For_Org	ET_220_005_Still_Work_For_Org Redirect 1	1665500078400	1665500078537	OK	 
GROUP	1	ET_220_Still_Work_For_Org	1665500078222	1665500078807	566	OK
REQUEST	1	ET_230_Employment_Details	ET_230_005_Employment_Details	1665500085644	1665500085743	OK	 
REQUEST	1	ET_230_Employment_Details	ET_230_005_Employment_Details Redirect 1	1665500085745	1665500085905	OK	 
