caseId,linkcaseId
1698080398808763,1696440081808250
1698080575500845,1696440081808250
1698080691118746,1696440081808250
1698080723419344,1696440081808250
1698080827090744,1696440081808250
1698080864624165,1696440081808250
1698080904008072,1696440081808250
1706980697631149,1696440081808250
1706980745031854,1696440081808250
1706980832349979,1696440081808250
1706980875843623,1696440081808250
1706980932961095,1696440081808250
1706980966524017,1696440081808250
1706981014524165,1696440081808250
1706981103849978,1696440081808250
1706981150247852,1696440081808250
1706981553648870,1696440081808250
1706981737273900,1696440081808250
1706981778520888,1696440081808250
1706981860921002,1696440081808250
1706981995119969,1696440081808250
1706982004307124,1696440081808250
1706982033052535,1696440081808250
1706982088537737,1696440081808250
1706982128657016,1696440081808250
1706982197495116,1696440081808250
1706982219840190,1696440081808250
1706982258740558,1696440081808250
1706982360270627,1696440081808250
1706982448625974,1696440081808250
1706982584578029,1696440081808250
1706982669464921,1696440081808250

