RUN	simulations.ET_Simulation	et-simulation	1665140091108	 	3.3.1
USER	ETCreateClaim	1	START	1665140092137	1665140092137
REQUEST	1	ET_010_Home	ET_010_005_Home	1665140092154	1665140092587	OK	 
GROUP	1	ET_010_Home	1665140092142	1665140093968	1677	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1665140097142	1665140097283	OK	 
GROUP	1	ET_020_Start	1665140097140	1665140098018	845	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1665140101037	1665140101208	OK	 
GROUP	1	ET_030_Before_You_Continue	1665140101030	1665140101496	407	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1665140104523	1665140104647	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1665140104653	1665140104745	OK	 
GROUP	1	ET_040_Work_Postcode	1665140104501	1665140105545	990	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1665140107585	1665140107712	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1665140107717	1665140107846	OK	 
GROUP	1	ET_050_Claim_Yourself	1665140107581	1665140108355	738	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1665140111396	1665140111492	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1665140111497	1665140111591	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1665140111390	1665140111886	467	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1665140114768	1665140114856	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1665140114860	1665140114992	OK	 
GROUP	1	ET_070_ACAS_Certificate	1665140114764	1665140115327	542	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1665140119010	1665140119083	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 1	1665140119086	1665140119442	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 2	1665140119445	1665140119570	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 3	1665140119572	1665140119764	OK	 
GROUP	1	ET_080_Representative	1665140119001	1665140120499	1407	OK
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In	1665140122566	1665140123412	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 1	1665140123417	1665140132783	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 2	1665140132787	1665140132927	OK	 
GROUP	1	ET_090_Log_In	1665140122551	1665140133651	11065	OK
REQUEST	1	ET_100_One_Go	ET_100_005_One_Go	1665140136844	1665140137013	OK	 
GROUP	1	ET_100_One_Go	1665140136841	1665140137215	361	OK
REQUEST	1	ET_110_Personal_Details	ET_110_005_Personal_Details	1665140141085	1665140141212	KO	substring(What is your date of birth?).find.exists, found nothing
GROUP	1	ET_110_Personal_Details	1665140141080	1665140141244	127	KO
USER	ETCreateClaim	1	END	1665140092137	1665140141255
