RUN	simulations.ET_Simulation	et-simulation	1665140180393	 	3.3.1
USER	ETCreateClaim	1	START	1665140181774	1665140181774
REQUEST	1	ET_010_Home	ET_010_005_Home	1665140181804	1665140182200	OK	 
GROUP	1	ET_010_Home	1665140181787	1665140183157	1247	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1665140186312	1665140186436	OK	 
GROUP	1	ET_020_Start	1665140186308	1665140186735	388	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1665140190070	1665140190280	OK	 
GROUP	1	ET_030_Before_You_Continue	1665140190067	1665140190518	402	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1665140193447	1665140193554	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1665140193562	1665140193684	OK	 
GROUP	1	ET_040_Work_Postcode	1665140193427	1665140194207	722	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1665140196335	1665140196482	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1665140196489	1665140196642	OK	 
GROUP	1	ET_050_Claim_Yourself	1665140196328	1665140197017	645	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1665140199664	1665140199741	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1665140199746	1665140199842	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1665140199656	1665140200342	660	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1665140202682	1665140203008	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1665140203013	1665140203167	OK	 
GROUP	1	ET_070_ACAS_Certificate	1665140202678	1665140203442	740	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1665140206793	1665140206907	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 1	1665140206910	1665140207031	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 2	1665140207034	1665140207175	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 3	1665140207179	1665140207344	OK	 
GROUP	1	ET_080_Representative	1665140206788	1665140208299	1422	OK
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In	1665140211868	1665140212963	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 1	1665140212970	1665140220877	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 2	1665140220878	1665140221000	OK	 
GROUP	1	ET_090_Log_In	1665140211857	1665140221223	9336	OK
REQUEST	1	ET_100_One_Go	ET_100_005_One_Go	1665140225033	1665140225179	OK	 
GROUP	1	ET_100_One_Go	1665140225028	1665140225318	273	OK
REQUEST	1	ET_110_Personal_Details	ET_110_005_Personal_Details	1665140229084	1665140229237	KO	substring(What is your date of birth?).find.exists, found nothing
GROUP	1	ET_110_Personal_Details	1665140229078	1665140229253	153	KO
USER	ETCreateClaim	1	END	1665140181774	1665140229266
