RUN	simulations.ET_Simulation	et-simulation	1666097724300	 	3.3.1
USER	ETCreateClaim	1	START	1666097726553	1666097726553
REQUEST	1	ET_010_Home	ET_010_005_Home	1666097726644	1666097727206	OK	 
GROUP	1	ET_010_Home	1666097726584	1666097728238	1483	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1666097734398	1666097734522	OK	 
GROUP	1	ET_020_Start	1666097734396	1666097734937	525	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1666097739366	1666097739486	OK	 
GROUP	1	ET_030_Before_You_Continue	1666097739355	1666097739681	232	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1666097745312	1666097745420	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1666097745427	1666097745558	OK	 
GROUP	1	ET_040_Work_Postcode	1666097745297	1666097746325	978	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1666097751126	1666097751264	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1666097751266	1666097751447	OK	 
GROUP	1	ET_050_Claim_Yourself	1666097751119	1666097751591	435	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1666097758181	1666097758278	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1666097758280	1666097758404	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1666097758173	1666097758542	348	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1666097764044	1666097764174	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1666097764182	1666097764325	OK	 
GROUP	1	ET_070_ACAS_Certificate	1666097764037	1666097764500	437	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1666097771177	1666097771326	OK	 
