RUN	simulations.ET_Simulation	et-simulation	1666087680839	 	3.3.1
USER	ETCreateClaim	1	START	1666087682490	1666087682490
REQUEST	1	ET_010_Home	ET_010_005_Home	1666087682547	1666087688538	OK	 
GROUP	1	ET_010_Home	1666087682512	1666087706414	23733	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1666087710741	1666087712819	OK	 
GROUP	1	ET_020_Start	1666087710738	1666087716004	5238	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1666087720014	1666087720203	OK	 
GROUP	1	ET_030_Before_You_Continue	1666087720010	1666087720449	376	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1666087725224	1666087725445	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1666087725452	1666087725740	OK	 
GROUP	1	ET_040_Work_Postcode	1666087725218	1666087729721	4477	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1666087735059	1666087735487	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1666087735488	1666087735909	OK	 
GROUP	1	ET_050_Claim_Yourself	1666087735057	1666087736383	1301	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1666087742049	1666087742322	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1666087742325	1666087742738	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1666087742047	1666087743273	1200	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1666087747470	1666087747622	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1666087747624	1666087748074	OK	 
GROUP	1	ET_070_ACAS_Certificate	1666087747468	1666087748411	927	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1666087752659	1666087752868	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 1	1666087752873	1666087753466	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 2	1666087753466	1666087753782	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 3	1666087753784	1666087754706	OK	 
