RUN	simulations.ET_Simulation	et-simulation	1665151118385	 	3.3.1
USER	ETCreateClaim	1	START	1665151119539	1665151119539
REQUEST	1	ET_010_Home	ET_010_005_Home	1665151119563	1665151119945	OK	 
GROUP	1	ET_010_Home	1665151119552	1665151121023	1369	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1665151123599	1665151123718	OK	 
GROUP	1	ET_020_Start	1665151123596	1665151124185	557	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1665151128070	1665151128218	OK	 
GROUP	1	ET_030_Before_You_Continue	1665151128066	1665151128755	617	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1665151130926	1665151131034	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1665151131037	1665151131209	OK	 
GROUP	1	ET_040_Work_Postcode	1665151130906	1665151131800	857	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1665151135240	1665151135349	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1665151135354	1665151135469	OK	 
GROUP	1	ET_050_Claim_Yourself	1665151135236	1665151135928	651	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1665151139821	1665151139967	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1665151139970	1665151140103	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1665151139816	1665151140417	584	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1665151143363	1665151143461	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1665151143464	1665151143601	OK	 
GROUP	1	ET_070_ACAS_Certificate	1665151143358	1665151143914	538	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1665151146160	1665151146236	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 1	1665151146237	1665151146322	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 2	1665151146325	1665151146438	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 3	1665151146441	1665151146565	OK	 
GROUP	1	ET_080_Representative	1665151146156	1665151147347	1105	OK
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In	1665151150931	1665151151840	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 1	1665151151845	1665151180114	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 2	1665151180119	1665151180228	OK	 
GROUP	1	ET_090_Log_In	1665151150916	1665151180423	29472	OK
REQUEST	1	ET_100_One_Go	ET_100_005_One_Go	1665151183411	1665151183525	OK	 
GROUP	1	ET_100_One_Go	1665151183406	1665151183733	310	OK
REQUEST	1	ET_110_Personal_Details	ET_110_005_Personal_Details	1665151187571	1665151187695	OK	 
GROUP	1	ET_110_Personal_Details	1665151187566	1665151187924	340	OK
REQUEST	1	ET_120_DoB	ET_120_005_DoB	1665151190051	1665151190242	OK	 
REQUEST	1	ET_120_DoB	ET_120_005_DoB Redirect 1	1665151190247	1665151190358	OK	 
GROUP	1	ET_120_DoB	1665151190046	1665151191151	1082	OK
REQUEST	1	ET_130_Sex	ET_130_005_Sex	1665151193710	1665151193853	OK	 
REQUEST	1	ET_130_Sex	ET_130_005_Sex Redirect 1	1665151193858	1665151194022	OK	 
GROUP	1	ET_130_Sex	1665151193706	1665151194772	1041	OK
REQUEST	1	ET_140_Your_Address_LookUp	XUI_Common_000_PostcodeLookup	1665151198736	1665151199548	OK	 
GROUP	1	ET_140_Your_Address_LookUp	1665151198726	1665151199550	812	OK
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select	1665151203451	1665151203548	OK	 
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select Redirect 1	1665151203559	1665151203707	OK	 
GROUP	1	ET_145_Your_Address_Select	1665151203445	1665151203847	373	OK
REQUEST	1	ET_150_Telephone_Number	ET_150_005_Telephone_Number	1665151206068	1665151206186	OK	 
REQUEST	1	ET_150_Telephone_Number	ET_150_005_Telephone_Number Redirect 1	1665151206194	1665151206299	OK	 
GROUP	1	ET_150_Telephone_Number	1665151206065	1665151206548	455	OK
REQUEST	1	ET_160_Contact_Method	ET_160_005_Contact_Method	1665151209445	1665151209552	OK	 
REQUEST	1	ET_160_Contact_Method	ET_160_005_Contact_Method Redirect 1	1665151209556	1665151209689	OK	 
GROUP	1	ET_160_Contact_Method	1665151209436	1665151209858	396	OK
REQUEST	1	ET_170_Hearing_Participation	ET_170_005_Hearing_Participation	1665151213450	1665151213594	OK	 
REQUEST	1	ET_170_Hearing_Participation	ET_170_005_Hearing_Participation Redirect 1	1665151213596	1665151213711	OK	 
GROUP	1	ET_170_Hearing_Participation	1665151213439	1665151213880	421	OK
REQUEST	1	ET_180_Need_Support	ET_180_005_Need_Support	1665151216001	1665151216099	OK	 
REQUEST	1	ET_180_Need_Support	ET_180_005_Need_Support Redirect 1	1665151216101	1665151216218	OK	 
GROUP	1	ET_180_Need_Support	1665151215996	1665151216468	454	OK
REQUEST	1	ET_190_Contact_Completed	ET_190_005_Contact_Completed	1665151220260	1665151220379	OK	 
REQUEST	1	ET_190_Contact_Completed	ET_190_005_Contact_Completed Redirect 1	1665151220383	1665151220564	OK	 
GROUP	1	ET_190_Contact_Completed	1665151220256	1665151220698	426	OK
REQUEST	1	ET_200_Employment_Status	ET_200_005_Employment_Status	1665151223377	1665151223513	OK	 
GROUP	1	ET_200_Employment_Status	1665151223375	1665151223817	425	OK
REQUEST	1	ET_210_Work_For_Org	ET_210_005_Work_For_Organisation	1665151227451	1665151227553	OK	 
REQUEST	1	ET_210_Work_For_Org	ET_210_005_Work_For_Organisation Redirect 1	1665151227556	1665151227715	OK	 
GROUP	1	ET_210_Work_For_Org	1665151227446	1665151227975	503	OK
REQUEST	1	ET_220_Still_Work_For_Org	ET_220_005_Still_Work_For_Org	1665151231252	1665151231354	OK	 
REQUEST	1	ET_220_Still_Work_For_Org	ET_220_005_Still_Work_For_Org Redirect 1	1665151231358	1665151231469	OK	 
GROUP	1	ET_220_Still_Work_For_Org	1665151231246	1665151232014	749	OK
REQUEST	1	ET_230_Employment_Details	ET_230_005_Employment_Details	1665151234909	1665151234996	OK	 
REQUEST	1	ET_230_Employment_Details	ET_230_005_Employment_Details Redirect 1	1665151234999	1665151235114	OK	 
GROUP	1	ET_230_Employment_Details	1665151234905	1665151235263	338	OK
REQUEST	1	ET_240_Start_Date	ET_240_005_Start_Date	1665151238730	1665151238933	OK	 
REQUEST	1	ET_240_Start_Date	ET_240_005_Start_Date Redirect 1	1665151238936	1665151239050	OK	 
GROUP	1	ET_240_Start_Date	1665151238726	1665151239519	767	OK
REQUEST	1	ET_250_Notice_End	ET_250_005_Notice_End	1665151243048	1665151243133	OK	 
REQUEST	1	ET_250_Notice_End	ET_250_005_Notice_End Redirect 1	1665151243136	1665151243276	OK	 
GROUP	1	ET_250_Notice_End	1665151243045	1665151243473	406	OK
REQUEST	1	ET_260_Weeks_Or_Months	ET_260_005_Weeks_Or_Months	1665151245930	1665151246007	OK	 
REQUEST	1	ET_260_Weeks_Or_Months	ET_260_005_Weeks_Or_Months Redirect 1	1665151246009	1665151246121	OK	 
GROUP	1	ET_260_Weeks_Or_Months	1665151245926	1665151246290	348	OK
REQUEST	1	ET_270_Number_Of_Months	ET_270_005_Number_Of_Months	1665151248758	1665151248839	OK	 
REQUEST	1	ET_270_Number_Of_Months	ET_270_005_Number_Of_Months Redirect 1	1665151248842	1665151248951	OK	 
GROUP	1	ET_270_Number_Of_Months	1665151248753	1665151249074	304	OK
REQUEST	1	ET_280_Weekly_Hours	ET_280_005_Weekly_Hours	1665151251657	1665151251759	OK	 
REQUEST	1	ET_280_Weekly_Hours	ET_280_005_Weekly_Hours Redirect 1	1665151251764	1665151251876	KO	substring(Your pay).find.exists, found nothing
GROUP	1	ET_280_Weekly_Hours	1665151251656	1665151251888	214	KO
USER	ETCreateClaim	1	END	1665151119539	1665151251902
